"gss_cp;""gss_insee"";""gss_ville"";""str_nom_commercial"";""sregion_lib"";""scentre_lib"";""gri_nom"""
"92600;""92004"";""ASNIERES SUR SEINE"";""CIRCET"";""IDF"";""CIRCET ADETEL CENTRE"";""CIRCET ADETEL CENTRE"""
"91350;""91286"";""GRIGNY"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91100;""91659"";""VILLABE"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91420;""91432"";""MORANGIS"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91080;""91228"";""EVRY COURCOURONNES"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91700;""91549"";""STE GENEVIEVE DES BOIS"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91360;""91667"";""VILLEMOISSON SUR ORGE"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91700;""91235"";""FLEURY MEROGIS"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91070;""91086"";""BONDOUFLE"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91570;""91064"";""BIEVRES"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91090;""91340"";""LISSES"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91250;""91553"";""ST GERMAIN LES CORBEIL"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91150;""91223"";""ETAMPES"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91250;""91617"";""TIGERY"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91240;""91570"";""ST MICHEL SUR ORGE"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91280;""91573"";""ST PIERRE DU PERRAY"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91220;""91103"";""BRETIGNY SUR ORGE"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91320;""91689"";""WISSOUS"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91380;""91161"";""CHILLY MAZARIN"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91830;""91179"";""LE COUDRAY MONTCEAUX"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91250;""91577"";""SAINTRY SUR SEINE"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91370;""91645"";""VERRIERES LE BUISSON"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"92220;""92007"";""BAGNEUX"";""CIRCET"";""IDF"";""CIRCET ADETEL SUD"";""CIRCET ADETEL SUD"""
"91860;""91215"";""EPINAY SOUS SENART"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91250;""91435"";""MORSANG SUR SEINE"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"69380;""69076"";""DOMMARTIN"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91390;""91434"";""MORSANG SUR ORGE"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91200;""91027"";""ATHIS MONS"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91550;""91479"";""PARAY VIEILLE POSTE"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"94260;""94034"";""FRESNES"";""CIRCET"";""IDF"";""CIRCET ADETEL SUD"";""CIRCET ADETEL SUD"""
"13310;""13097"";""ST MARTIN DE CRAU"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"41100;""41269"";""VENDOME"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"63200;""63300"";""RIOM"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"91290;""91021"";""ARPAJON"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91340;""91461"";""OLLAINVILLE"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"92370;""92022"";""CHAVILLE"";""CIRCET"";""IDF"";""CIRCET ADETEL SUD"";""CIRCET ADETEL SUD"""
"91100;""91174"";""CORBEIL ESSONNES"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"06000;""06088"";""NICE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"38700;""38516"";""LA TRONCHE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"49080;""49035"";""BOUCHEMAINE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"75012;""75112"";""PARIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"75015;""75115"";""PARIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"86240;""86088"";""CROUTELLE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"86240;""86100"";""FONTAINE LE COMTE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"13250;""13029"";""CORNILLON CONFOUX"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"97460;""97415"";""ST PAUL"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"18390;""18158"";""MOULINS SUR YEVRE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"31600;""31395"";""MURET"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"41000;""41018"";""BLOIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"54500;""54547"";""VANDOEUVRE LES NANCY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"54600;""54578"";""VILLERS LES NANCY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"38230;""38085"";""CHARVIEU CHAVAGNEUX"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"38150;""38051"";""BOUGE CHAMBALUD"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"77167;""77370"";""POLIGNY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"77167;""77016"";""BAGNEAUX SUR LOING"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"77140;""77333"";""NEMOURS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"77460;""77071"";""CHAINTREAUX"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"77710;""77387"";""REMAUVILLE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"77460;""77458"";""SOUPPES SUR LOING"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"18380;""18047"";""LA CHAPELLE D ANGILLON"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"18380;""18115"";""IVOY LE PRE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"41150;""41055"";""VALLOIRE SUR CISSE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"84270;""84141"";""VEDENE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"71200;""71153"";""LE CREUSOT"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"85340;""85112"";""L ILE D OLONNE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"76120;""76322"";""LE GRAND QUEVILLYZ"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"76120;""76322"";""LE GRAND QUEVILLY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"14320;""14623"";""ST MARTIN DE FONTENAY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"14320;""14556"";""ST ANDRE SUR ORNE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"78470;""78575"";""ST REMY LES CHEVREUSE"";""CIRCET"";""IDF"";""CIRCET IDF"";""CIRCET IDF"""
"69380;""69121"";""LOZANNE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
